periodo,localizacao,numero_transacoes,ano,trimestre_num,periodo_ordem,data_trimestre
3.º Trimestre de 2024,1B: Península de Setúbal,890615.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,1C: Alentejo,220651.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,15: Algarve,955863.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,2: Região Autónoma dos Açores,114219.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,20: Região Autónoma dos Açores,114219.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,3: Região Autónoma da Madeira,232833.0,2024,3,20243,2024-Q3
3.º Trimestre de 2024,30: Região Autónoma da Madeira,232833.0,2024,3,20243,2024-Q3
2.º Trimestre de 2024,PT: Portugal,7876682.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,1: Continente,7592526.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,11: Norte,1925135.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,19: Centro,732786.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,1D: Oeste e Vale do Tejo,508195.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,1A: Grande Lisboa,2535075.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,1B: Península de Setúbal,751886.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,1C: Alentejo,227110.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,15: Algarve,912339.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,2: Região Autónoma dos Açores,95203.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,20: Região Autónoma dos Açores,95203.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,3: Região Autónoma da Madeira,188953.0,2024,2,20242,2024-Q2
2.º Trimestre de 2024,30: Região Autónoma da Madeira,188953.0,2024,2,20242,2024-Q2
1.º Trimestre de 2024,PT: Portugal,6730533.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,1: Continente,6479474.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,11: Norte,1692342.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,19: Centro,625406.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,1D: Oeste e Vale do Tejo,435179.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,1A: Grande Lisboa,2185757.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,1B: Península de Setúbal,628899.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,1C: Alentejo,178737.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,15: Algarve,733155.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,2: Região Autónoma dos Açores,90365.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,20: Região Autónoma dos Açores,90365.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,3: Região Autónoma da Madeira,160694.0,2024,1,20241,2024-Q1
1.º Trimestre de 2024,30: Região Autónoma da Madeira,160694.0,2024,1,20241,2024-Q1
4.º Trimestre de 2023,PT: Portugal,7174277.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,1: Continente,6921898.0,2023,4,20234,2023-Q4
4.º Trimestre de 2023,11: Norte,1672741.0,2023,4,20234,2023-Q4
