
Quadro extraído em 25 de Maio de 2026 (16:50:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;N.º ;
;20: Região Autónoma dos Açores;743;
;3: Região Autónoma da Madeira;1180;
;30: Região Autónoma da Madeira;1180;
2.º Trimestre de 2022;PT: Portugal;43607;
;1: Continente;41805;
;11: Norte;11967;
;19: Centro;6162;
;1D: Oeste e Vale do Tejo;4009;
;1A: Grande Lisboa;8746;
;1B: Península de Setúbal;4590;
;1C: Alentejo;2165;
;15: Algarve;4166;
;2: Região Autónoma dos Açores;702;
;20: Região Autónoma dos Açores;702;
;3: Região Autónoma da Madeira;1100;
;30: Região Autónoma da Madeira;1100;
1.º Trimestre de 2022;PT: Portugal;43544;
;1: Continente;41798;
;11: Norte;12371;
;19: Centro;5976;
;1D: Oeste e Vale do Tejo;3759;
;1A: Grande Lisboa;9046;
;1B: Península de Setúbal;4418;
;1C: Alentejo;2099;
;15: Algarve;4129;
;2: Região Autónoma dos Açores;722;
;20: Região Autónoma dos Açores;722;
;3: Região Autónoma da Madeira;1024;
;30: Região Autónoma da Madeira;1024;
4.º Trimestre de 2021;PT: Portugal;45885;
;1: Continente;44102;
;11: Norte;13158;
;19: Centro;6375;
;1D: Oeste e Vale do Tejo;4028;
;1A: Grande Lisboa;9288;
;1B: Península de Setúbal;4664;
;1C: Alentejo;2276;
;15: Algarve;4313;
;2: Região Autónoma dos Açores;803;
;20: Região Autónoma dos Açores;803;
;3: Região Autónoma da Madeira;980;
;30: Região Autónoma da Madeira;980;
3.º Trimestre de 2021;PT: Portugal;43447;
;1: Continente;41844;
;11: Norte;12527;
;19: Centro;6003;
;1D: Oeste e Vale do Tejo;3985;
;1A: Grande Lisboa;8518;
;1B: Península de Setúbal;4555;
;1C: Alentejo;2216;
;15: Algarve;4040;
;2: Região Autónoma dos Açores;726;
;20: Região Autónoma dos Açores;726;
;3: Região Autónoma da Madeira;877;
;30: Região Autónoma da Madeira;877;
2.º Trimestre de 2021;PT: Portugal;41736;
;1: Continente;40092;
;11: Norte;11887;
;19: Centro;5761;
;1D: Oeste e Vale do Tejo;3968;
;1A: Grande Lisboa;8360;
;1B: Península de Setúbal;4611;
;1C: Alentejo;2052;
;15: Algarve;3453;
;2: Região Autónoma dos Açores;684;
;20: Região Autónoma dos Açores;684;
;3: Região Autónoma da Madeira;960;
;30: Região Autónoma da Madeira;960;
1.º Trimestre de 2021;PT: Portugal;34614;
;1: Continente;33350;
;11: Norte;10127;
;19: Centro;4707;
;1D: Oeste e Vale do Tejo;3143;
;1A: Grande Lisboa;7201;
;1B: Península de Setúbal;3817;
;1C: Alentejo;1598;
;15: Algarve;2757;
;2: Região Autónoma dos Açores;510;
;20: Região Autónoma dos Açores;510;
;3: Região Autónoma da Madeira;754;
;30: Região Autónoma da Madeira;754;
4.º Trimestre de 2020;PT: Portugal;39139;
;1: Continente;37748;
;11: Norte;11313;
;19: Centro;5600;
;1D: Oeste e Vale do Tejo;3699;
;1A: Grande Lisboa;7572;
;1B: Península de Setúbal;4370;
;1C: Alentejo;2017;
;15: Algarve;3177;
;2: Região Autónoma dos Açores;607;
;20: Região Autónoma dos Açores;607;
;3: Região Autónoma da Madeira;784;
;30: Região Autónoma da Madeira;784;
3.º Trimestre de 2020;PT: Portugal;35596;
;1: Continente;34315;
;11: Norte;10669;
;19: Centro;5374;
;1D: Oeste e Vale do Tejo;3208;
;1A: Grande Lisboa;6832;
;1B: Península de Setúbal;3695;
;1C: Alentejo;1730;
;15: Algarve;2807;
;2: Região Autónoma dos Açores;555;
;20: Região Autónoma dos Açores;555;
;3: Região Autónoma da Madeira;726;
;30: Região Autónoma da Madeira;726;
2.º Trimestre de 2020;PT: Portugal;26379;
;1: Continente;25500;
;11: Norte;7784;
;19: Centro;3620;
;1D: Oeste e Vale do Tejo;2246;
;1A: Grande Lisboa;5713;
;1B: Península de Setúbal;2917;
;1C: Alentejo;1252;
;15: Algarve;1968;
;2: Região Autónoma dos Açores;435;
;20: Região Autónoma dos Açores;435;
;3: Região Autónoma da Madeira;444;
;30: Região Autónoma da Madeira;444;
1.º Trimestre de 2020;PT: Portugal;36399;
;1: Continente;34979;
;11: Norte;10347;
;19: Centro;4577;
;1D: Oeste e Vale do Tejo;2965;
;1A: Grande Lisboa;8344;
;1B: Península de Setúbal;3943;
;1C: Alentejo;1481;
;15: Algarve;3322;
;2: Região Autónoma dos Açores;668;
;20: Região Autónoma dos Açores;668;
;3: Região Autónoma da Madeira;752;
;30: Região Autónoma da Madeira;752;
4.º Trimestre de 2019;PT: Portugal;41676;
;1: Continente;40286;
;11: Norte;11849;
;19: Centro;5711;
;1D: Oeste e Vale do Tejo;3453;
;1A: Grande Lisboa;9016;
;1B: Península de Setúbal;4658;
;1C: Alentejo;1792;
;15: Algarve;3807;
;2: Região Autónoma dos Açores;616;
;20: Região Autónoma dos Açores;616;
;3: Região Autónoma da Madeira;774;
;30: Região Autónoma da Madeira;774;
3.º Trimestre de 2019;PT: Portugal;39554;
;1: Continente;38118;
;11: Norte;11433;
;19: Centro;5359;
;1D: Oeste e Vale do Tejo;3406;
;1A: Grande Lisboa;8617;
;1B: Península de Setúbal;4202;
;1C: Alentejo;1827;
;15: Algarve;3274;
;2: Região Autónoma dos Açores;709;
;20: Região Autónoma dos Açores;709;
;3: Região Autónoma da Madeira;727;
;30: Região Autónoma da Madeira;727;
2.º Trimestre de 2019;PT: Portugal;36681;
;1: Continente;35480;
;11: Norte;10413;
;19: Centro;4713;
;1D: Oeste e Vale do Tejo;2941;
;1A: Grande Lisboa;8280;
;1B: Península de Setúbal;4139;
;1C: Alentejo;1533;
;15: Algarve;3461;
;2: Região Autónoma dos Açores;587;
;20: Região Autónoma dos Açores;587;
;3: Região Autónoma da Madeira;614;
;30: Região Autónoma da Madeira;614;
1.º Trimestre de 2019;PT: Portugal;36954;
;1: Continente;35695;
;11: Norte;10487;
;19: Centro;4727;
;1D: Oeste e Vale do Tejo;2919;
;1A: Grande Lisboa;8482;
;1B: Península de Setúbal;4149;
;1C: Alentejo;1493;
;15: Algarve;3438;
;2: Região Autónoma dos Açores;575;
;20: Região Autónoma dos Açores;575;
;3: Região Autónoma da Madeira;684;
;30: Região Autónoma da Madeira;684;
4.º Trimestre de 2018;PT: Portugal;39066;
;1: Continente;37696;
;11: Norte;11798;
;19: Centro;5137;
;1D: Oeste e Vale do Tejo;3120;
;1A: Grande Lisboa;8242;
;1B: Península de Setúbal;4275;
;1C: Alentejo;1754;
;15: Algarve;3371;
;2: Região Autónoma dos Açores;661;
;20: Região Autónoma dos Açores;661;
;3: Região Autónoma da Madeira;709;
;30: Região Autónoma da Madeira;709;
3.º Trimestre de 2018;PT: Portugal;38964;
;1: Continente;37676;
;11: Norte;11574;
;19: Centro;4996;
;1D: Oeste e Vale do Tejo;2853;
;1A: Grande Lisboa;8766;
;1B: Península de Setúbal;4547;
;1C: Alentejo;1631;
;15: Algarve;3309;
;2: Região Autónoma dos Açores;567;
;20: Região Autónoma dos Açores;567;
;3: Região Autónoma da Madeira;722;
;30: Região Autónoma da Madeira;722;
2.º Trimestre de 2018;PT: Portugal;38730;
;1: Continente;37557;
;11: Norte;11308;
;19: Centro;4773;
;1D: Oeste e Vale do Tejo;2829;
;1A: Grande Lisboa;9335;
;1B: Península de Setúbal;3947;
;1C: Alentejo;1594;
;15: Algarve;3771;
;2: Região Autónoma dos Açores;573;
;20: Região Autónoma dos Açores;573;
;3: Região Autónoma da Madeira;600;
;30: Região Autónoma da Madeira;600;
1.º Trimestre de 2018;PT: Portugal;34449;
;1: Continente;33345;
;11: Norte;9982;
;19: Centro;4022;
;1D: Oeste e Vale do Tejo;2567;
;1A: Grande Lisboa;8467;
;1B: Península de Setúbal;3401;
;1C: Alentejo;1316;
;15: Algarve;3591;
;2: Região Autónoma dos Açores;482;
;20: Região Autónoma dos Açores;482;
;3: Região Autónoma da Madeira;623;
;30: Região Autónoma da Madeira;623;
4.º Trimestre de 2017;PT: Portugal;35940;
;1: Continente;34717;
;11: Norte;10295;
;19: Centro;4518;
;1D: Oeste e Vale do Tejo;2616;
;1A: Grande Lisboa;8440;
;1B: Península de Setúbal;3684;
;1C: Alentejo;1451;
;15: Algarve;3712;
;2: Região Autónoma dos Açores;567;
;20: Região Autónoma dos Açores;567;
;3: Região Autónoma da Madeira;656;
;30: Região Autónoma da Madeira;656;
3.º Trimestre de 2017;PT: Portugal;32722;
;1: Continente;31560;
;11: Norte;9788;
;19: Centro;4191;
;1D: Oeste e Vale do Tejo;2363;
;1A: Grande Lisboa;7655;
;1B: Península de Setúbal;3116;
;1C: Alentejo;1317;
;15: Algarve;3130;
;2: Região Autónoma dos Açores;489;
;20: Região Autónoma dos Açores;489;
;3: Região Autónoma da Madeira;673;
;30: Região Autónoma da Madeira;673;
2.º Trimestre de 2017;PT: Portugal;31197;
;1: Continente;30202;
;11: Norte;8997;
;19: Centro;3761;
;1D: Oeste e Vale do Tejo;2117;
;1A: Grande Lisboa;7840;
;1B: Península de Setúbal;2910;
;1C: Alentejo;1212;
;15: Algarve;3366;
;2: Região Autónoma dos Açores;439;
