
Quadro extraído em 25 de Maio de 2026 (16:50:54)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;N.º ;
4.º Trimestre de 2010;PT: Portugal;25965;
;1: Continente;24696;
;11: Norte;7925;
;19: Centro;3291;
;1D: Oeste e Vale do Tejo;2005;
;1A: Grande Lisboa;5867;
;1B: Península de Setúbal;2290;
;1C: Alentejo;1131;
;15: Algarve;2187;
;2: Região Autónoma dos Açores;692;
;20: Região Autónoma dos Açores;692;
;3: Região Autónoma da Madeira;578;
;30: Região Autónoma da Madeira;578;
3.º Trimestre de 2010;PT: Portugal;25895;
;1: Continente;24898;
;11: Norte;7711;
;19: Centro;3559;
;1D: Oeste e Vale do Tejo;2058;
;1A: Grande Lisboa;5839;
;1B: Península de Setúbal;2407;
;1C: Alentejo;1160;
;15: Algarve;2163;
;2: Região Autónoma dos Açores;432;
;20: Região Autónoma dos Açores;432;
;3: Região Autónoma da Madeira;565;
;30: Região Autónoma da Madeira;565;
2.º Trimestre de 2010;PT: Portugal;27914;
;1: Continente;26876;
;11: Norte;8238;
;19: Centro;3500;
;1D: Oeste e Vale do Tejo;2300;
;1A: Grande Lisboa;6748;
;1B: Península de Setúbal;2734;
;1C: Alentejo;1191;
;15: Algarve;2164;
;2: Região Autónoma dos Açores;461;
;20: Região Autónoma dos Açores;461;
;3: Região Autónoma da Madeira;577;
;30: Região Autónoma da Madeira;577;
1.º Trimestre de 2010;PT: Portugal;27213;
;1: Continente;26301;
;11: Norte;8072;
;19: Centro;3540;
;1D: Oeste e Vale do Tejo;2143;
;1A: Grande Lisboa;6533;
;1B: Península de Setúbal;2638;
;1C: Alentejo;1079;
;15: Algarve;2296;
;2: Região Autónoma dos Açores;406;
;20: Região Autónoma dos Açores;406;
;3: Região Autónoma da Madeira;505;
;30: Região Autónoma da Madeira;505;
4.º Trimestre de 2009;PT: Portugal;27567;
;1: Continente;26251;
;11: Norte;8194;
;19: Centro;3422;
;1D: Oeste e Vale do Tejo;2223;
;1A: Grande Lisboa;6192;
;1B: Península de Setúbal;2629;
;1C: Alentejo;1298;
;15: Algarve;2293;
;2: Região Autónoma dos Açores;661;
;20: Região Autónoma dos Açores;661;
;3: Região Autónoma da Madeira;655;
;30: Região Autónoma da Madeira;655;
3.º Trimestre de 2009;PT: Portugal;27077;
;1: Continente;25988;
;11: Norte;7994;
;19: Centro;3468;
;1D: Oeste e Vale do Tejo;2358;
;1A: Grande Lisboa;6061;
;1B: Península de Setúbal;2681;
;1C: Alentejo;1216;
;15: Algarve;2210;
;2: Região Autónoma dos Açores;463;
;20: Região Autónoma dos Açores;463;
;3: Região Autónoma da Madeira;626;
;30: Região Autónoma da Madeira;626;
2.º Trimestre de 2009;PT: Portugal;24229;
;1: Continente;23270;
;11: Norte;7085;
;19: Centro;3035;
;1D: Oeste e Vale do Tejo;2099;
;1A: Grande Lisboa;5264;
;1B: Península de Setúbal;2308;
;1C: Alentejo;1121;
;15: Algarve;2359;
;2: Região Autónoma dos Açores;388;
;20: Região Autónoma dos Açores;388;
;3: Região Autónoma da Madeira;571;
;30: Região Autónoma da Madeira;571;
1.º Trimestre de 2009;PT: Portugal;21219;
;1: Continente;20428;
;11: Norte;6262;
;19: Centro;2721;
;1D: Oeste e Vale do Tejo;1755;
;1A: Grande Lisboa;4665;
;1B: Península de Setúbal;2038;
;1C: Alentejo;953;
;15: Algarve;2033;
;2: Região Autónoma dos Açores;393;
;20: Região Autónoma dos Açores;393;
;3: Região Autónoma da Madeira;398;
;30: Região Autónoma da Madeira;398;

Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral - INE, Índice de preços da habitação


Última atualização destes dados: 23 de março de 2026


Metainformação associada ao quadro

Transações (N.º) de alojamentos familiares
Designação;Transações (N.º) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Índice de preços da habitação
Primeiro período disponível;1.º Trimestre de 2009
Último período disponível;4.º Trimestre de 2025
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Categoria do alojamento familiar
     Dimensão 4;Domicílio fiscal do comprador
     Dimensão 5;Setor institucional do comprador
Conceitos
     SETOR INSTITUCIONAL;Agrupamento de unidades institucionais que têm um comportamento económico análogo.
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     DOMICÍLIO FISCAL;Local da residência habitual para as pessoas singulares, local da sede ou direção efetiva para as pessoas coletivas ou, na falta destes, o local do seu estabelecimento estável em Portugal.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     TRANSAÇÃO;Operação pela qual se transfere a posse de um bem mediante uma contrapartida.
Definição;
Fórmula;&lt - p class='MsoNormal'&gt - &lt - span class='AM'&gt - `NTRANSj = sum_(i=1)^(n) NTRANSij `&lt - /span&gt - &lt - /p&gt - 
&lt - p class='MsoNormal'&gt - &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp - NTRANSij, N&ordm -  de transa&ccedil - &otilde - es do alojamento i no trimestre j&lt - /p&gt - 
&lt - p class='MsoNormal'&gt - &lt - span class='AM'&gt - ` `&lt - /span&gt - &lt - /p&gt - 
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;23-Mar-2026
