
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
;3: Região Autónoma da Madeira;58647;
;30: Região Autónoma da Madeira;58647;
4.º Trimestre de 2011;PT: Portugal;2107130;
;1: Continente;2018536;
;11: Norte;610722;
;19: Centro;222295;
;1D: Oeste e Vale do Tejo;134459;
;1A: Grande Lisboa;573066;
;1B: Península de Setúbal;138292;
;1C: Alentejo;70625;
;15: Algarve;269077;
;2: Região Autónoma dos Açores;26957;
;20: Região Autónoma dos Açores;26957;
;3: Região Autónoma da Madeira;61637;
;30: Região Autónoma da Madeira;61637;
3.º Trimestre de 2011;PT: Portugal;1950085;
;1: Continente;1871072;
;11: Norte;547135;
;19: Centro;213031;
;1D: Oeste e Vale do Tejo;136003;
;1A: Grande Lisboa;546519;
;1B: Península de Setúbal;137310;
;1C: Alentejo;53437;
;15: Algarve;237637;
;2: Região Autónoma dos Açores;24023;
;20: Região Autónoma dos Açores;24023;
;3: Região Autónoma da Madeira;54990;
;30: Região Autónoma da Madeira;54990;
2.º Trimestre de 2011;PT: Portugal;2319557;
;1: Continente;2236516;
;11: Norte;579497;
;19: Centro;249368;
;1D: Oeste e Vale do Tejo;143208;
;1A: Grande Lisboa;772338;
;1B: Península de Setúbal;180439;
;1C: Alentejo;61862;
;15: Algarve;249803;
;2: Região Autónoma dos Açores;26865;
;20: Região Autónoma dos Açores;26865;
;3: Região Autónoma da Madeira;56176;
;30: Região Autónoma da Madeira;56176;
1.º Trimestre de 2011;PT: Portugal;2558333;
;1: Continente;2438156;
;11: Norte;646173;
;19: Centro;276283;
;1D: Oeste e Vale do Tejo;157820;
;1A: Grande Lisboa;780277;
;1B: Península de Setúbal;198236;
;1C: Alentejo;74107;
;15: Algarve;305260;
;2: Região Autónoma dos Açores;50273;
;20: Região Autónoma dos Açores;50273;
;3: Região Autónoma da Madeira;69904;
;30: Região Autónoma da Madeira;69904;
4.º Trimestre de 2010;PT: Portugal;3247936;
;1: Continente;3088862;
;11: Norte;830101;
;19: Centro;325697;
;1D: Oeste e Vale do Tejo;207109;
;1A: Grande Lisboa;993877;
;1B: Península de Setúbal;257345;
;1C: Alentejo;93185;
;15: Algarve;381547;
;2: Região Autónoma dos Açores;79511;
;20: Região Autónoma dos Açores;79511;
;3: Região Autónoma da Madeira;79563;
;30: Região Autónoma da Madeira;79563;
3.º Trimestre de 2010;PT: Portugal;3216802;
;1: Continente;3092552;
;11: Norte;804937;
;19: Centro;350585;
;1D: Oeste e Vale do Tejo;214368;
;1A: Grande Lisboa;999801;
;1B: Península de Setúbal;282262;
;1C: Alentejo;104429;
;15: Algarve;336169;
;2: Região Autónoma dos Açores;43422;
;20: Região Autónoma dos Açores;43422;
;3: Região Autónoma da Madeira;80828;
;30: Região Autónoma da Madeira;80828;
2.º Trimestre de 2010;PT: Portugal;3455609;
;1: Continente;3331718;
;11: Norte;868209;
;19: Centro;345449;
;1D: Oeste e Vale do Tejo;237319;
;1A: Grande Lisboa;1109355;
;1B: Península de Setúbal;331543;
;1C: Alentejo;102680;
;15: Algarve;337163;
;2: Região Autónoma dos Açores;49401;
;20: Região Autónoma dos Açores;49401;
;3: Região Autónoma da Madeira;74490;
;30: Região Autónoma da Madeira;74490;
1.º Trimestre de 2010;PT: Portugal;3440120;
;1: Continente;3322702;
;11: Norte;825304;
;19: Centro;359833;
;1D: Oeste e Vale do Tejo;226841;
;1A: Grande Lisboa;1122291;
;1B: Península de Setúbal;320346;
;1C: Alentejo;101702;
;15: Algarve;366384;
;2: Região Autónoma dos Açores;43494;
;20: Região Autónoma dos Açores;43494;
;3: Região Autónoma da Madeira;73924;
;30: Região Autónoma da Madeira;73924;
4.º Trimestre de 2009;PT: Portugal;3374788;
;1: Continente;3212031;
;11: Norte;828403;
;19: Centro;329303;
;1D: Oeste e Vale do Tejo;223872;
;1A: Grande Lisboa;1025082;
;1B: Península de Setúbal;313295;
;1C: Alentejo;111243;
;15: Algarve;380834;
;2: Região Autónoma dos Açores;75317;
;20: Região Autónoma dos Açores;75317;
;3: Região Autónoma da Madeira;87440;
;30: Região Autónoma da Madeira;87440;
3.º Trimestre de 2009;PT: Portugal;3315884;
;1: Continente;3172270;
;11: Norte;785769;
;19: Centro;328908;
;1D: Oeste e Vale do Tejo;257639;
;1A: Grande Lisboa;1012694;
;1B: Península de Setúbal;316958;
;1C: Alentejo;101852;
;15: Algarve;368450;
;2: Região Autónoma dos Açores;47766;
;20: Região Autónoma dos Açores;47766;
;3: Região Autónoma da Madeira;95849;
;30: Região Autónoma da Madeira;95849;
2.º Trimestre de 2009;PT: Portugal;2992266;
;1: Continente;2871508;
;11: Norte;723853;
;19: Centro;298053;
;1D: Oeste e Vale do Tejo;240194;
;1A: Grande Lisboa;864468;
;1B: Península de Setúbal;260035;
;1C: Alentejo;96777;
;15: Algarve;388128;
;2: Região Autónoma dos Açores;40573;
;20: Região Autónoma dos Açores;40573;
;3: Região Autónoma da Madeira;80186;
;30: Região Autónoma da Madeira;80186;
1.º Trimestre de 2009;PT: Portugal;2594215;
;1: Continente;2483606;
;11: Norte;617131;
;19: Centro;253284;
;1D: Oeste e Vale do Tejo;190061;
;1A: Grande Lisboa;772564;
;1B: Península de Setúbal;238341;
;1C: Alentejo;79569;
;15: Algarve;332657;
;2: Região Autónoma dos Açores;56431;
;20: Região Autónoma dos Açores;56431;
;3: Região Autónoma da Madeira;54178;
;30: Região Autónoma da Madeira;54178;

Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral - INE, Índice de preços da habitação


Última atualização destes dados: 23 de março de 2026


Metainformação associada ao quadro

Transações (?) de alojamentos familiares
Designação;Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral
Periodicidade;Trimestral
Fonte;INE, Índice de preços da habitação
Primeiro período disponível;1.º Trimestre de 2009
Último período disponível;4.º Trimestre de 2025
Dimensões
     Dimensão 1;Período de referência dos dados (Trimestre)
     Dimensão 2;Localização geográfica (NUTS - 2024)
     Dimensão 3;Categoria do alojamento familiar
     Dimensão 4;Domicílio fiscal do comprador
     Dimensão 5;Setor institucional do comprador
Conceitos
     ALOJAMENTO FAMILIAR;Alojamento que, normalmente, se destina a alojar apenas uma família e não é totalmente utilizado para outros fins no momento de referência.
     SETOR INSTITUCIONAL;Agrupamento de unidades institucionais que têm um comportamento económico análogo.
     TRANSAÇÃO;Operação pela qual se transfere a posse de um bem mediante uma contrapartida.
     DOMICÍLIO FISCAL;Local da residência habitual para as pessoas singulares, local da sede ou direção efetiva para as pessoas coletivas ou, na falta destes, o local do seu estabelecimento estável em Portugal.
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
Definição;
Fórmula;&lt - p&gt - &lt - span class='AM'&gt - `VTRANSj = sum_(i=1)^(n) VTRANSij`&lt - /span&gt - &lt - /p&gt - 
&lt - p&gt - &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  &nbsp -  VTRANSij, Valor das transa&ccedil - &otilde - es do alojamento i no trimestre j&lt - /p&gt - 
Unidade de Medida (símbolo);Euro (?)
Potência de 10;3
Data da última atualização;23-Mar-2026
