
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
;19: Centro;682619;
;1D: Oeste e Vale do Tejo;494570;
;1A: Grande Lisboa;2588479;
;1B: Península de Setúbal;799397;
;1C: Alentejo;243679;
;15: Algarve;1028325;
;2: Região Autónoma dos Açores;108289;
;20: Região Autónoma dos Açores;108289;
;3: Região Autónoma da Madeira;229148;
;30: Região Autónoma da Madeira;229148;
2.º Trimestre de 2022;PT: Portugal;8287705;
;1: Continente;7964577;
;11: Norte;1851936;
;19: Centro;685881;
;1D: Oeste e Vale do Tejo;515138;
;1A: Grande Lisboa;2652189;
;1B: Península de Setúbal;825225;
;1C: Alentejo;236558;
;15: Algarve;1197651;
;2: Região Autónoma dos Açores;95860;
;20: Região Autónoma dos Açores;95860;
;3: Região Autónoma da Madeira;227268;
;30: Região Autónoma da Madeira;227268;
1.º Trimestre de 2022;PT: Portugal;8081797;
;1: Continente;7778473;
;11: Norte;1910902;
;19: Centro;663628;
;1D: Oeste e Vale do Tejo;456886;
;1A: Grande Lisboa;2639455;
;1B: Península de Setúbal;758606;
;1C: Alentejo;233024;
;15: Algarve;1115974;
;2: Região Autónoma dos Açores;98743;
;20: Região Autónoma dos Açores;98743;
;3: Região Autónoma da Madeira;204581;
;30: Região Autónoma da Madeira;204581;
4.º Trimestre de 2021;PT: Portugal;8225207;
;1: Continente;7933276;
;11: Norte;1927112;
;19: Centro;652552;
;1D: Oeste e Vale do Tejo;493504;
;1A: Grande Lisboa;2712834;
;1B: Península de Setúbal;746982;
;1C: Alentejo;229479;
;15: Algarve;1170812;
;2: Região Autónoma dos Açores;109753;
;20: Região Autónoma dos Açores;109753;
;3: Região Autónoma da Madeira;182178;
;30: Região Autónoma da Madeira;182178;
3.º Trimestre de 2021;PT: Portugal;7345978;
;1: Continente;7117453;
;11: Norte;1758824;
;19: Centro;605750;
;1D: Oeste e Vale do Tejo;472862;
;1A: Grande Lisboa;2341398;
;1B: Península de Setúbal;729091;
;1C: Alentejo;211932;
;15: Algarve;997596;
;2: Região Autónoma dos Açores;85609;
;20: Região Autónoma dos Açores;85609;
;3: Região Autónoma da Madeira;142917;
;30: Região Autónoma da Madeira;142917;
2.º Trimestre de 2021;PT: Portugal;6933006;
;1: Continente;6690510;
;11: Norte;1634272;
;19: Centro;578825;
;1D: Oeste e Vale do Tejo;436334;
;1A: Grande Lisboa;2305020;
;1B: Península de Setúbal;706728;
;1C: Alentejo;202551;
;15: Algarve;826780;
;2: Região Autónoma dos Açores;78564;
;20: Região Autónoma dos Açores;78564;
;3: Região Autónoma da Madeira;163932;
;30: Região Autónoma da Madeira;163932;
1.º Trimestre de 2021;PT: Portugal;5595240;
;1: Continente;5415541;
;11: Norte;1410222;
;19: Centro;471348;
;1D: Oeste e Vale do Tejo;347134;
;1A: Grande Lisboa;1842804;
;1B: Península de Setúbal;577349;
;1C: Alentejo;156379;
;15: Algarve;610304;
;2: Região Autónoma dos Açores;57361;
;20: Região Autónoma dos Açores;57361;
;3: Região Autónoma da Madeira;122338;
;30: Região Autónoma da Madeira;122338;
4.º Trimestre de 2020;PT: Portugal;6098441;
;1: Continente;5917302;
;11: Norte;1522354;
;19: Centro;533877;
;1D: Oeste e Vale do Tejo;397367;
;1A: Grande Lisboa;1924777;
;1B: Península de Setúbal;635952;
;1C: Alentejo;183244;
;15: Algarve;719731;
;2: Região Autónoma dos Açores;65370;
;20: Região Autónoma dos Açores;65370;
;3: Região Autónoma da Madeira;115769;
;30: Região Autónoma da Madeira;115769;
3.º Trimestre de 2020;PT: Portugal;5427603;
;1: Continente;5255431;
;11: Norte;1354648;
;19: Centro;520460;
;1D: Oeste e Vale do Tejo;340138;
;1A: Grande Lisboa;1680690;
;1B: Península de Setúbal;541066;
;1C: Alentejo;166934;
;15: Algarve;651496;
;2: Região Autónoma dos Açores;61424;
;20: Região Autónoma dos Açores;61424;
;3: Região Autónoma da Madeira;110747;
;30: Região Autónoma da Madeira;110747;
2.º Trimestre de 2020;PT: Portugal;4125502;
;1: Continente;4010621;
;11: Norte;1051789;
;19: Centro;381889;
;1D: Oeste e Vale do Tejo;235739;
;1A: Grande Lisboa;1401673;
;1B: Península de Setúbal;408081;
;1C: Alentejo;118806;
;15: Algarve;412644;
;2: Região Autónoma dos Açores;49832;
;20: Região Autónoma dos Açores;49832;
;3: Região Autónoma da Madeira;65049;
;30: Região Autónoma da Madeira;65049;
1.º Trimestre de 2020;PT: Portugal;5785538;
;1: Continente;5590338;
;11: Norte;1372712;
;19: Centro;450687;
;1D: Oeste e Vale do Tejo;313102;
;1A: Grande Lisboa;2100495;
;1B: Península de Setúbal;524426;
;1C: Alentejo;132711;
;15: Algarve;696205;
;2: Região Autónoma dos Açores;76583;
;20: Região Autónoma dos Açores;76583;
;3: Região Autónoma da Madeira;118617;
;30: Região Autónoma da Madeira;118617;
4.º Trimestre de 2019;PT: Portugal;6136268;
;1: Continente;5959042;
;11: Norte;1444479;
;19: Centro;533092;
;1D: Oeste e Vale do Tejo;331701;
;1A: Grande Lisboa;2158061;
;1B: Península de Setúbal;563853;
;1C: Alentejo;152464;
;15: Algarve;775392;
;2: Região Autónoma dos Açores;65570;
;20: Região Autónoma dos Açores;65570;
;3: Região Autónoma da Madeira;111656;
;30: Região Autónoma da Madeira;111656;
3.º Trimestre de 2019;PT: Portugal;5800028;
;1: Continente;5629169;
;11: Norte;1365258;
;19: Centro;505679;
;1D: Oeste e Vale do Tejo;344155;
;1A: Grande Lisboa;2045236;
;1B: Península de Setúbal;532829;
;1C: Alentejo;157465;
;15: Algarve;678547;
;2: Região Autónoma dos Açores;69958;
;20: Região Autónoma dos Açores;69958;
