cod,designacao,data,ano,trimestre,preco_mediano_m2,n_transacoes,tipo_territorio,periodo,preco_yoy_pct,preco_qoq_pct,transacoes_yoy_pct,tipologia
1B01511,Sesimbra,2023-01-01,2023,1,1997.0,236.0,município,2023 Q1,15.63,-5.93,-24.6,Total
1B01511,Sesimbra,2023-04-01,2023,2,2113.0,261.0,município,2023 Q2,13.18,5.81,-22.32,Total
1B01511,Sesimbra,2023-07-01,2023,3,2157.0,233.0,município,2023 Q3,4.35,2.08,-29.39,Total
1B01511,Sesimbra,2023-10-01,2023,4,2095.0,239.0,município,2023 Q4,-1.32,-2.87,-21.12,Total
1B01511,Sesimbra,2024-01-01,2024,1,2154.0,219.0,município,2024 Q1,7.86,2.82,-7.2,Total
1B01511,Sesimbra,2024-04-01,2024,2,2213.0,264.0,município,2024 Q2,4.73,2.74,1.15,Total
1B01511,Sesimbra,2024-07-01,2024,3,2266.0,294.0,município,2024 Q3,5.05,2.39,26.18,Total
1B01511,Sesimbra,2024-10-01,2024,4,2402.0,311.0,município,2024 Q4,14.65,6.0,30.13,Total
1B01511,Sesimbra,2025-01-01,2025,1,2412.0,258.0,município,2025 Q1,11.98,0.42,17.81,Total
1B01511,Sesimbra,2025-04-01,2025,2,2651.0,284.0,município,2025 Q2,19.79,9.91,7.58,Total
1B01511,Sesimbra,2025-07-01,2025,3,2905.0,310.0,município,2025 Q3,28.2,9.58,5.44,Total
1B01511,Sesimbra,2025-10-01,2025,4,3010.0,309.0,município,2025 Q4,25.31,3.61,-0.64,Total
1B01512,Setúbal,2019-01-01,2019,1,1033.0,595.0,município,2019 Q1,,,,Total
1B01512,Setúbal,2019-04-01,2019,2,1059.0,629.0,município,2019 Q2,,2.52,,Total
1B01512,Setúbal,2019-07-01,2019,3,1167.0,600.0,município,2019 Q3,,10.2,,Total
1B01512,Setúbal,2019-10-01,2019,4,1116.0,708.0,município,2019 Q4,,-4.37,,Total
1B01512,Setúbal,2020-01-01,2020,1,1224.0,639.0,município,2020 Q1,18.49,9.68,7.39,Total
1B01512,Setúbal,2020-04-01,2020,2,1247.0,391.0,município,2020 Q2,17.75,1.88,-37.84,Total
1B01512,Setúbal,2020-07-01,2020,3,1347.0,587.0,município,2020 Q3,15.42,8.02,-2.17,Total
1B01512,Setúbal,2020-10-01,2020,4,1327.0,601.0,município,2020 Q4,18.91,-1.48,-15.11,Total
1B01512,Setúbal,2021-01-01,2021,1,1285.0,520.0,município,2021 Q1,4.98,-3.17,-18.62,Total
1B01512,Setúbal,2021-04-01,2021,2,1336.0,675.0,município,2021 Q2,7.14,3.97,72.63,Total
1B01512,Setúbal,2021-07-01,2021,3,1388.0,630.0,município,2021 Q3,3.04,3.89,7.33,Total
1B01512,Setúbal,2021-10-01,2021,4,1498.0,669.0,município,2021 Q4,12.89,7.93,11.31,Total
1B01512,Setúbal,2022-01-01,2022,1,1534.0,649.0,município,2022 Q1,19.38,2.4,24.81,Total
1B01512,Setúbal,2022-04-01,2022,2,1650.0,636.0,município,2022 Q2,23.5,7.56,-5.78,Total
1B01512,Setúbal,2022-07-01,2022,3,1675.0,542.0,município,2022 Q3,20.68,1.52,-13.97,Total
1B01512,Setúbal,2022-10-01,2022,4,1785.0,515.0,município,2022 Q4,19.16,6.57,-23.02,Total
1B01512,Setúbal,2023-01-01,2023,1,1779.0,435.0,município,2023 Q1,15.97,-0.34,-32.97,Total
1B01512,Setúbal,2023-04-01,2023,2,1830.0,435.0,município,2023 Q2,10.91,2.87,-31.6,Total
1B01512,Setúbal,2023-07-01,2023,3,1855.0,423.0,município,2023 Q3,10.75,1.37,-21.96,Total
1B01512,Setúbal,2023-10-01,2023,4,1866.0,483.0,município,2023 Q4,4.54,0.59,-6.21,Total
1B01512,Setúbal,2024-01-01,2024,1,1974.0,438.0,município,2024 Q1,10.96,5.79,0.69,Total
1B01512,Setúbal,2024-04-01,2024,2,1996.0,437.0,município,2024 Q2,9.07,1.11,0.46,Total
1B01512,Setúbal,2024-07-01,2024,3,2044.0,528.0,município,2024 Q3,10.19,2.4,24.82,Total
1B01512,Setúbal,2024-10-01,2024,4,2120.0,613.0,município,2024 Q4,13.61,3.72,26.92,Total
1B01512,Setúbal,2025-01-01,2025,1,2171.0,608.0,município,2025 Q1,9.98,2.41,38.81,Total
1B01512,Setúbal,2025-04-01,2025,2,2366.0,564.0,município,2025 Q2,18.54,8.98,29.06,Total
1B01512,Setúbal,2025-07-01,2025,3,2656.0,573.0,município,2025 Q3,29.94,12.26,8.52,Total
1B01512,Setúbal,2025-10-01,2025,4,2699.0,597.0,município,2025 Q4,27.31,1.62,-2.61,Total
